PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Marvin Bagley III,DET,2023,24,42,7,35,23.6,12,4.8,9.1,52.9,0.5,1.6,28.8,1.9,2.6,75,2.2,4.2,6.4,0.9,1.1,0.5,0.7,1.9,23.4,8,0,-5.5
Clint Capela,ATL,2023,29,65,35,30,26.6,12,5.4,8.2,65.3,0,0,0,1.2,2,60.3,4,7.1,11,0.9,0.8,0.7,1.2,2.1,31.5,35,0,-0.5
Mike Conley,MIN,2023,35,67,34,33,30.3,11.9,3.9,9.1,42.8,2,5.2,38.5,2.1,2.5,83.4,0.5,2.2,2.7,6.7,1.5,1.1,0.2,2.1,27.6,6,0,0.9
Bones Hyland,LAC,2023,22,56,36,20,19.4,11.8,4.1,10.2,39.9,2.1,5.6,37.1,1.5,1.8,84.3,0.4,2.1,2.4,3.1,1.5,0.7,0.3,1.7,20.7,1,0,-2.3
Lonnie Walker IV,LAL,2023,24,56,27,29,23.2,11.7,4.2,9.4,44.8,1.6,4.4,36.5,1.6,1.9,85.8,0.3,1.7,1.9,1.1,0.8,0.5,0.3,1.3,17.4,0,0,-3.7
Zach Collins,SAS,2023,25,63,20,43,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,2,0.6,0.8,3.2,25.6,9,0,-3.8
Bruce Brown,DEN,2023,26,80,53,27,28.5,11.5,4.5,9.3,48.3,1.1,3.2,35.8,1.5,1.9,75.8,0.8,3.3,4.1,3.4,1.5,1.1,0.6,2.4,25.1,3,1,0.4
Max Strus,MIA,2023,27,80,42,38,28.4,11.5,4.1,9.9,41,2.5,7,35,1,1.1,87.6,0.6,2.6,3.2,2.1,0.9,0.5,0.2,2.1,19.8,2,0,-1.8
Marcus Smart,BOS,2023,29,61,43,18,32.1,11.5,4.1,9.9,41.5,1.9,5.6,33.6,1.4,1.9,74.6,0.8,2.4,3.1,6.3,2.3,1.5,0.4,2.8,28,6,0,3.9
Naz Reid,MIN,2023,23,68,32,36,18.4,11.5,4.6,8.5,53.7,1.1,3.2,34.6,1.3,1.9,67.7,1.1,3.8,4.9,1.1,1.4,0.6,0.8,2.6,21.9,4,0,-1.9
John Wall,LAC,2023,32,34,15,19,22.2,11.4,4.1,10,40.7,1,3.2,30.3,2.3,3.3,68.1,0.4,2.3,2.7,5.2,2.4,0.8,0.4,1.7,23.5,1,0,-3.1
Isaiah Stewart,DET,2023,22,50,12,38,28.3,11.3,3.9,8.8,44.2,1.3,4.1,32.7,2.2,3,73.8,2.3,5.8,8.1,1.4,1.4,0.4,0.7,2.7,25,13,0,-4.5
Quentin Grimes,NYK,2023,23,71,41,30,29.9,11.3,4,8.5,46.8,2.2,5.7,38.6,1.1,1.4,79.6,0.7,2.5,3.2,2.1,1,0.7,0.4,2.5,20.4,0,0,2.6
